ID,question,correct_answer,model_output
1195,is abdomen present?,no,no
1196,what is present?,adenoma,kidney
1197,is adenoma present?,yes,yes
1198,is this photo of infant from head to toe present?,no,no
1199,where is this part in the figure?,endocrine system,urinary system
1200,what see for high mag?,well circumscribed papillary lesion,glomerulonephritis
1201,what does well circumscribed papillary lesion see?,for high mag,kidney
1202,what is present?,endocrine,kidney
1203,are the organisms somewhat variable in size?,yes,yes
1204,what is present?,pituitary,kidney
1205,what is present?,adenoma,kidney
1206,how does well circumscribed papillary lesion see for mag?,high,with glomerulosclerosis and minimal interstitial fibrosis
1207,what is present?,endocrine,endocrine
1208,is endocrine present?,yes,yes
1209,is metastatic carcinoma prostate present?,no,no
1210,what is present?,pituitary,endocrine
1211,is pituitary present?,yes,yes
1212,is marked present?,no,yes
1213,what is present?,eosinophilic adenoma,endocrine
1214,are the areas of white chalky deposits somewhat variable in size?,no,yes
1215,is eosinophilic adenoma present?,yes,yes
1216,is abdomen present?,no,no
1217,where is this part in the figure?,endocrine system,endocrine system
1218,what is present?,endocrine,endocrine
1219,what is present?,pituitary,endocrine
1220,what is present?,eosinophilic adenoma,endocrine
1221,what does this image show?,wide fetal zone 2 days old,brain
1222,does this image show wide fetal zone 2 days old?,yes,yes
1223,does quite good liver show wide fetal zone 2 days old?,no,no
1224,what is present?,endocrine,brain
1225,how is homogeneous or diffuse staining of nuclei?,common,with fluorescein
1226,what is caused by intracapillary leukocytes and proliferation of intrinsic glomerular cells?,glomerular hypercellularity,acute post streptococcal glomerulonephritis
1227,is endocrine present?,yes,yes
1228,is capillary present?,no,yes
1229,what is present?,adrenal,brain
1230,is adrenal present?,yes,yes
1231,is slide present?,no,no
1232,what is present?,normal newborn,brain
1233,is normal newborn present?,yes,no
1234,is artery present?,no,no
1235,where is this part in the figure?,endocrine system,nervous system
1236,what is present?,endocrine,brain
1237,what is glomerular hypercellularity caused by?,intracapillary leukocytes and proliferation of intrinsic glomerular cells,glomerulosclerosis
1238,what is present?,adrenal,brain
1239,what is present?,normal newborn,brain
1240,what does this image show?,carotid artery in region of pituitary with tumor cells in soft tissue,stomach
1241,does this image show carotid artery in region of pituitary with tumor cells in soft tissue?,yes,yes
1242,does lateral view show carotid artery in region of pituitary with tumor cells in soft tissue?,no,yes
1243,what is present?,endocrine,gastrointestinal
1244,is endocrine present?,yes,yes
1245,is aorta present?,no,no
1246,what is present?,malignant adenoma,gastrointestinal
1247,is malignant adenoma present?,yes,yes
1248,is glomerular hypercellularity caused by intracapillary leukocytes and proliferation of intrinsic glomerular cells?,yes,yes
1249,is cachexia present?,no,no
1250,where is this part in the figure?,endocrine system,gastrointestinal system
1251,what is present?,endocrine,gastrointestinal
1252,what is present?,malignant adenoma,gastrointestinal
1253,what does this image show?,typical cells,pleomorphic atypical plasma cells with prominent nucleoli
1254,does this image show typical cells?,yes,yes
1255,does atherosclerosis show typical cells?,no,no
1256,what is present?,endocrine,bone marrow
1257,is endocrine present?,yes,yes
1258,is carcinomatosis endometrium primary present?,no,no
1259,is microscopic view of breast carcinoma caused by intracapillary leukocytes and proliferation of intrinsic glomerular cells?,no,no
1260,what is present?,adrenal,bone marrow
1261,is adrenal present?,yes,yes
1262,is outside adrenal capsule section present?,no,no
1263,what is present?,cytomegaly,bone marrow
1264,is cytomegaly present?,yes,yes
1265,is metastatic carcinoma oat cell present?,no,no
1266,where is this part in the figure?,endocrine system,whole figure
1267,what is present?,endocrine,bone marrow
1268,what is present?,adrenal,bone marrow
1269,what is present?,cytomegaly,bone marrow
1270,what are in the tubules?,the red blood cell casts,glomeruli
1271,what does this image show?,typical severe hashimotos no thyroid tissue recognizable,lymph node
1272,does this image show typical severe hashimotos no thyroid tissue recognizable?,yes,yes
1273,does carcinoma show typical severe hashimotos no thyroid tissue recognizable?,no,no
1274,what is present?,endocrine,lymph node
1275,is endocrine present?,yes,yes
1276,is beckwith-wiedemann syndrome present?,no,no
1277,what is present?,autoimmune thyroiditis,lymph node
1278,is autoimmune thyroiditis present?,yes,yes
1279,is aorta present?,no,no
1280,where is this part in the figure?,endocrine system,breast
1281,where are the red blood cell casts?,in the tubules,in the glomeresuli
1282,what is present?,endocrine,lymph node
1283,what is present?,autoimmune thyroiditis,lymph node
1284,what does this image show?,x-ray sella,fractures with large lesion in temporal bone
1285,does this image show x-ray sella?,yes,yes
1286,does papillary adenoma show x-ray sella?,no,yes
1287,what is present?,endocrine,bone
1288,is endocrine present?,yes,yes
1289,is pus in test tube present?,no,no
1290,what is present?,pituitary,bone
1291,is pituitary present?,yes,yes
1292,are the red blood cell casts in the tubules?,yes,yes
1293,is glomerulosa present?,no,no
1294,what is present?,chromophobe adenoma,bone
1295,is chromophobe adenoma present?,yes,yes
1296,is hemochromatosis present?,no,yes
1297,where does this x-ray been taken?,endocrine system,head and face
1298,what is present?,endocrine,bone
1299,what is present?,pituitary,bone
1300,what is present?,chromophobe adenoma,bone
1301,what has polycystic disease?,no,face
1302,what does child have?,child,very good example of this condition
1303,are reversibly injured myocardium in the tubules?,no,no
1304,does child have polycystic disease?,yes,yes
1305,does opened muscle have polycystic disease?,no,yes
1306,what does this image show?,child has polycystic disease,two hands one normal one with clubbing
1307,does this image show child has polycystic disease?,yes,yes
1308,does pituitary show child has polycystic disease?,no,no
1309,what are present?,extremities,extremities
1310,are extremities present?,yes,yes
1311,are view looking down on heads present?,no,yes
1312,what is present?,hand,hand
1313,is hand present?,yes,yes
1314,what is highly variable?,gross appearance of leukoplakia,colour
1315,is focal hemorrhagic infarction well shown present?,no,yes
1316,how many digits and syndactyly is present?,six,two fingers
1317,what is present?,six digits and syndactyly,hand
1318,is six digits and syndactyly present?,six,yes
1319,is electron micrographs demonstrating fiber present?,yes,no
1320,what has polycystic disease?,child,face
1321,what does child have?,polycystic disease,very good example of this condition
1322,what are present?,extremities,extremities
1323,what is present?,hand,hand
1324,what is present?,six digits and syndactyly,hand
1325,is the gross appearance of leukoplakia highly variable?,yes,yes
1326,how does child have disease?,polycystic,no apparent disease
1327,what shows well shown simian crease?,no,hand
1328,does this image show well shown simian crease?,this,yes
1329,does atrophy show well shown simian crease?,yes,no
1330,what are present?,no,hand
1331,are extremities present?,extremities,yes
1332,are liver with tuberculoid granuloma in glissons present?,yes,no
1333,what is present?,no,hand
1334,is hand present?,hand,yes
1335,is hemochromatosis present?,yes,yes
1336,"is homogeneous or diffuse staining of nuclei typical of antibodies reactive with dsdna, nucleosomes, and histones?",yes,yes
1337,is the wall of the artery highly variable?,no,yes
1338,what are present?,extremities,hand
1339,what is present?,hand,hand
1340,what shows close-up supernumerary digit?,no,hand
1341,does this image show close-up supernumerary digit?,this,yes
1342,does endocrine show close-up supernumerary digit?,yes,yes
1343,what are present?,no,extremities
1344,are extremities present?,extremities,yes
1345,are skin over back a buttocks present?,yes,no
1346,what is present?,no,hand
1347,is hand present?,hand,yes
1348,what is smooth with well-demarcated borders and minimal elevation in this example?,the lesion,lesion
1349,is very good example present?,yes,yes
1350,what are present?,extremities,extremities
1351,what is present?,hand,hand
1352,what indicated?,source,syndactyly
1353,is source indicated?,yes,no
1354,is acute lymphocytic leukemia indicated?,no,yes
1355,what does this image show?,source indicated,hand
1356,does this image show source indicated?,yes,yes
1357,does vasculature show source indicated?,no,no
1358,what is a simian crease suspect?,previous slide from this case,syndromic
1359,how is the lesion in this example?,smooth with well-demarcated borders and minimal elevation,white
1360,what is previous slide from this case suspect?,a simian crease,syndactyly
1361,is previous slide from this case a simian crease suspect?,yes,yes
1362,is lateral view a simian crease suspect?,no,yes
1363,what was taken from another case to illustrate the difference?,this,foot
1364,what was this taken from to illustrate the difference?,taken another case,hand
1365,was this taken from another case to illustrate the difference?,yes,yes
1366,was atrophy taken from another case to illustrate the difference?,no,yes
1367,what are present?,extremities,extremities
1368,are extremities present?,yes,yes
1369,are six digits and syndactyly present?,no,yes
1370,is the lesion smooth with well-demarcated borders and minimal elevation in this example?,yes,yes
1371,what is present?,hand,hand
1372,is hand present?,yes,yes
1373,is malignant lymphoma present?,no,no
1374,what is present?,palmar crease normal,hand
1375,is palmar crease normal present?,yes,no
1376,is embryo-fetus present?,no,no
1377,what is a simian crease suspect?,previous slide from this case,syndromic
1378,what is previous slide from this case suspect?,a simian crease,syndactyly
1379,what indicated?,source,syndactyly
1380,what was taken from another case to illustrate the difference?,this,foot
1381,is the green probe smooth with well-demarcated borders and minimal elevation in this example?,no,yes
1382,what was this taken from to illustrate the difference?,taken another case,hand
1383,what are present?,extremities,extremities
1384,what is present?,hand,hand
1385,what is present?,palmar crease normal,hand
1386,how is previous slide from this case a crease suspect?,simian,left hand
1387,what does this image show?,foot of infant with gangrenous tips of all toes case of sepsis with dic,view of feet showing syndactyly
1388,how does this image show foot of infant?,with gangrenous tips all toes case sepsis with dic,with syndactyly
1389,does this image show foot of infant with gangrenous tips of all toes case of sepsis with dic?,yes,yes
1390,does chronic ischemia show foot of infant with gangrenous tips of all toes case of sepsis with dic?,no,no
1391,what are present?,extremities,extremities
1392,what is characterized by nuclear and cellular pleomorphism and loss of normal maturation?,dysplasia,squamous cell carcinoma
1393,are extremities present?,yes,yes
1394,are x-ray intramyocardial arteries present?,no,no
1395,what is present?,gangrene,extremities
1396,is gangrene present?,yes,yes
1397,is this image present?,no,yes
1398,what are present?,extremities,extremities
1399,what is present?,gangrene,extremities
1400,how many toes does this image show view from dorsum of foot which has at least?,9,five
1401,what does this image show?,view from dorsum of foot which has at least 9 toes,foot with deformed fingers
1402,does this image show view from dorsum of foot which has at least 9 toes?,yes,yes
1403,what is dysplasia characterized by?,nuclear and cellular pleomorphism and loss of normal maturation,abundant keratinising epidermis
1404,does endocrine show view from dorsum of foot which has at least 9 toes?,no,yes
1405,what are present?,extremities,extremities
1406,are extremities present?,yes,yes
1407,are view looking down on heads present?,no,no
1408,what is present?,supernumerary digits,foot
1409,is supernumerary digits present?,yes,yes
1410,is six digits present?,no,yes
1411,what are present?,extremities,extremities
1412,what is present?,supernumerary digits,foot
1413,why does this image show obvious gangrenous necrosis?,due to shock or embolism postoperative cardiac surgery,due to shock and ischemia
1414,how is histologic appearance of leukoplakia showing dysplasia characterized?,by nuclear and cellular pleomorphism and loss of normal maturation,by atypical cells with nuclear pleomorphism
1415,what does this image show?,obvious gangrenous necrosis due to shock or embolism postoperative cardiac surgery,extremities
1416,does this image show obvious gangrenous necrosis due to shock or embolism postoperative cardiac surgery?,yes,yes
1417,does normal immature infant show obvious gangrenous necrosis due to shock or embolism postoperative cardiac surgery?,no,no
1418,what are present?,extremities,extremities
1419,are extremities present?,yes,yes
1420,are x-ray intramyocardial arteries present?,no,no
1421,what is present?,hand,extremities
1422,is hand present?,yes,yes
1423,is cachexia present?,no,no
1424,what is present?,gangrene fingers,extremities
1425,is histologic appearance of leukoplakia showing dysplasia characterized by nuclear and cellular pleomorphism and loss of normal maturation?,yes,yes
1426,is gangrene fingers present?,yes,yes
1427,is skin over back a buttocks present?,no,no
1428,what are present?,extremities,extremities
1429,what is present?,hand,extremities
1430,what is present?,gangrene fingers,extremities
1431,what does this image show?,ok but not close enough petechiae,extremities with petechial and purpuric hemorrhages
1432,does this image show ok but not close enough petechiae?,yes,yes
1433,what are present?,extremities,extremities
1434,are extremities present?,yes,yes
1435,what is present?,leg,extremities
1436,is the placenta characterized by nuclear and cellular pleomorphism and loss of normal maturation?,no,yes
1437,is leg present?,yes,yes
1438,what are present?,extremities,extremities
1439,what is present?,leg,extremities
1440,what does this image show?,excellent example gangrene first,hand with ring on finger
1441,does this image show excellent example gangrene first?,yes,yes
1442,what are present?,extremities,extremities
1443,are extremities present?,yes,yes
1444,what are present?,extremities,extremities
1445,what does this image show?,well demarcated gangrene third and fourth toes,foot with gangrenous toes
1446,does this image show well demarcated gangrene third and fourth toes?,yes,yes
1447,"are the photomicrographs typical of antibodies reactive with dsdna, nucleosomes, and histones?",no,yes
1448,what are seen on the left?,the normal gland acini,large cystic spaces
1449,what are present?,extremities,extremities
1450,are extremities present?,yes,yes
1451,what are present?,extremities,extremities
1452,what does this image show?,excellent great toe lesion,foot with gangrenous toe
1453,does this image show excellent great toe lesion?,yes,yes
1454,does marfans syndrome show excellent great toe lesion?,no,yes
1455,what are present?,extremities,extremities
1456,are extremities present?,yes,yes
1457,are hours present?,no,no
1458,what is present?,gangrene,foot
1459,where are the normal gland acini seen?,on the left,left side of the field
1460,is gangrene present?,yes,yes
1461,is metastatic carcinoma prostate present?,no,yes
1462,what are present?,extremities,extremities
1463,what is present?,gangrene,foot
1464,what said to be due to embolism?,excellent gangrenous necrosis of fingers,hand
1465,why is excellent gangrenous necrosis of fingers said to be?,due embolism,due to shock
1466,what is excellent gangrenous necrosis of fingers said?,to be due to embolism,to be
1467,is excellent gangrenous necrosis of fingers said to be due to embolism?,yes,yes
1468,is digits said to be due to embolism?,no,yes
1469,why does this image show excellent gangrenous necrosis of fingers said to be?,due embolism,due to shock
1470,are the normal gland acini seen on the left?,yes,yes
1471,what does this image show?,excellent gangrenous necrosis of fingers said to be due to embolism,hand with gangrene
1472,does this image show excellent gangrenous necrosis of fingers said to be due to embolism?,yes,yes
1473,does this section show excellent gangrenous necrosis of fingers said to be due to embolism?,no,yes
1474,what are present?,extremities,extremities
1475,are extremities present?,yes,yes
1476,are cells present?,no,no
1477,what said to be due to embolism?,excellent gangrenous necrosis of fingers,hand
1478,what are present?,extremities,extremities
1479,how is excellent gangrenous necrosis of fingers said to be to embolism?,due,to thromboembolism
1480,what does this image show?,close-up view of gangrene,view of distal phalanx with necrosis
1481,are the lower lobe seen on the left?,no,yes
1482,does this image show close-up view of gangrene?,yes,yes
1483,does atherosclerosis show close-up view of gangrene?,no,no
1484,what are present?,extremities,extremities
1485,are extremities present?,yes,yes
1486,are renal polycystic disease legs present?,no,no
1487,what is present?,feet,extremities
1488,is feet present?,yes,yes
1489,is six digits present?,no,yes
1490,what are present?,extremities,extremities
1491,what is present?,feet,extremities
1492,does endoscopic view of a longitudinally-oriented mallory-weiss tear?,yes,yes
1493,how many toes does this image show excellent example of gangrene of the first?,four,five toes
1494,what does this image show?,excellent example of gangrene of the first four toes,foot burns
1495,does this image show excellent example of gangrene of the first four toes?,yes,yes
1496,does omentum show excellent example of gangrene of the first four toes?,no,no
1497,what are present?,extremities,extremities
1498,are extremities present?,yes,yes
1499,are feet present?,no,yes
1500,what are present?,extremities,extremities
1501,what requires dark room to see subtle distal phalangeal cyanosis?,case of dic not bad photo,hand
1502,what does case of dic not bad photo require?,dark room to see subtle distal phalangeal cyanosis,hand
1503,does the palisade of cartilage tear?,no,yes
1504,does case of dic not bad photo require dark room to see subtle distal phalangeal cyanosis?,yes,no
1505,does pus in test tube require dark room to see subtle distal phalangeal cyanosis?,no,no
1506,what does this image show?,case of dic not bad photo requires dark room to see subtle distal phalangeal cyanosis,hand
1507,does this image show case of dic not bad photo requires dark room to see subtle distal phalangeal cyanosis?,yes,yes
1508,does metastatic carcinoma lung show case of dic not bad photo requires dark room to see subtle distal phalangeal cyanosis?,no,no
1509,what are present?,extremities,extremities
1510,are extremities present?,yes,yes
1511,are hyalin mass in pituitary which is amyloid there are several slides from this case in this file 23 yowf amyloid limited to brain present?,no,no
1512,what is present?,hand,hand
1513,is hand present?,yes,yes
1514,"what is found in the mid-esophagus, where it commonly causes strictures?",squamous cell carcinoma,a benign leiomyoma
1515,is parathyroid present?,no,no
1516,what is present?,acrocyanosis,hand
1517,is acrocyanosis present?,yes,yes
1518,is lymphoma present?,no,no
1519,what requires dark room to see subtle distal phalangeal cyanosis?,case of dic not bad photo,hand
1520,what are present?,extremities,extremities
1521,what is present?,hand,hand
1522,what is present?,acrocyanosis,hand
1523,how does case of dic not bad photo require room to see subtle distal phalangeal cyanosis?,dark,with edema
1524,how does case of dic not bad photo require dark room to see distal phalangeal cyanosis?,subtle,with nail dystrophy
1525,where is squamous cell carcinoma found?,in the mid-esophagus,peritoneum
1526,how does case of dic not bad photo require dark room to see subtle phalangeal cyanosis?,distal,with jaundice
1527,what does this image show?,toes,feet with gangrenous toes
1528,"does this image show toes, dry gangrene?",yes,yes
1529,"does previous slide from this case show toes, dry gangrene?",no,yes
1530,what are present?,extremities,extremities
1531,are extremities present?,yes,yes
1532,are section of both kidneys and adrenals present?,no,no
1533,what are present?,extremities,extremities
1534,what does this image show?,disseminated intravascular coagulation dic,bone
1535,does this image show disseminated intravascular coagulation dic?,yes,yes
1536,"is squamous cell carcinoma found in the mid-esophagus, where it commonly causes strictures?",yes,yes
1537,does child show disseminated intravascular coagulation dic?,no,no
1538,what is present?,eye,bone
1539,is eye present?,yes,no
1540,is mucoepidermoid carcinoma present?,no,yes
1541,what is present?,eye,bone
1542,what does this image show?,disseminated intravascular coagulation dic,uterus
1543,does this image show disseminated intravascular coagulation dic?,yes,yes
1544,does lymphangiomatosis generalized show disseminated intravascular coagulation dic?,no,no
1545,what is present?,eye,gastrointestinal
1546,is eye present?,yes,yes
1547,"is cd15 found in the mid-esophagus, where it commonly causes strictures?",no,yes
1548,is this photo of infant from head to toe present?,no,no
1549,what is present?,eye,gastrointestinal
1550,what does this image show?,uterus,uterus
1551,"does this image show uterus, fallopian tubes, ovaries ; normal?",yes,yes
1552,"does chronic ischemia show uterus, fallopian tubes, ovaries ; normal?",no,no
1553,where does this part belong to?,female reproductive system,female reproductive system
1554,what does this image show?,uterus,heart
1555,"does this image show uterus, leiomyoma?",yes,yes
1556,"does muscle atrophy show uterus, leiomyoma?",no,no
1557,where does this part belong to?,female reproductive system,female reproductive system
1558,"are skin stem cells typical of antibodies reactive with dsdna, nucleosomes, and histones, and common in sle?",no,yes
1559,what is limited to the mucosa?,disease,the inflammatory infiltrate
1560,what does this image show?,uterus,uterus
1561,"does this image show uterus, leiomyoma?",yes,yes
1562,"does cardiovascular show uterus, leiomyoma?",no,no
1563,where does this part belong to?,female reproductive system,female reproductive system
1564,what does this image show?,nicely shown large neoplasm with fish flesh cerebriform appearance,opened uterus with large myomas
1565,does this image show nicely shown large neoplasm with fish flesh cerebriform appearance?,yes,yes
1566,does 70yof show nicely shown large neoplasm with fish flesh cerebriform appearance?,no,yes
1567,what is present?,female reproductive,female reproductive
1568,is female reproductive present?,yes,yes
1569,is leiomyomas present?,no,yes
1570,what is disease limited to?,the mucosa,lower third of esophagus
1571,what is present?,uterus,female reproductive
1572,is uterus present?,yes,yes
1573,is surface present?,no,yes
1574,what is present?,leiomyosarcoma,female reproductive
1575,is leiomyosarcoma present?,yes,yes
1576,is heart present?,no,no
1577,where does this part belong to?,female reproductive system,female reproductive system
1578,what is present?,female reproductive,female reproductive
1579,what is present?,uterus,female reproductive
1580,what is present?,leiomyosarcoma,female reproductive
1581,is disease limited to the mucosa?,yes,yes
1582,what does this image show?,fixed tissue close-up well shown tan-orange luteum tissue cysts in sliced ovaries three day old,kidney
1583,does this image show fixed tissue close-up well shown tan-orange luteum tissue cysts in sliced ovaries three day old?,yes,yes
1584,what is present?,female reproductive,female reproductive
1585,is female reproductive present?,yes,yes
1586,what is present?,ovary,female reproductive
1587,is ovary present?,yes,yes
1588,what is present?,theca luteum cysts in newborn,female reproductive
1589,is theca luteum cysts in newborn present?,yes,yes
1590,where does this belong to?,female reproductive system,female reproductive system
1591,what is present?,female reproductive,female reproductive
1592,is masson trichrome limited to the mucosa?,no,yes
1593,what is present?,ovary,female reproductive
1594,what is present?,theca luteum cysts in newborn,female reproductive
1595,what does this image show?,saggital section which is a very good illustration of lesion,large hemorrhagic lesions
1596,does this image show saggital section which is a very good illustration of this lesion?,yes,yes
1597,does spina bifida show saggital section which is a very good illustration of this lesion?,no,no
1598,what is present?,female reproductive,female reproductive
1599,is female reproductive present?,yes,yes
1600,is gout present?,no,yes
1601,what is present?,placenta,female reproductive
1602,is placenta present?,yes,yes
1603,what shows that disease is limited to the mucosa?,the full-thickness histologic section,histological features
1604,is glomerulosa present?,no,no
1605,what is present?,abruption,female reproductive
1606,is abruption present?,yes,yes
1607,is palmar crease normal present?,no,no
1608,where does this belong to?,female reproductive system,female reproductive system
1609,what is present?,female reproductive,female reproductive
1610,what is present?,placenta,female reproductive
1611,what is present?,abruption,female reproductive
1612,how many arteries does this image show cross sections showing apparently and two veins?,four,one
1613,how many veins does this image show cross sections showing apparently four arteries and?,two,two veins
1614,what does this full-thickness histologic section show?,disease is limited to the mucosa,chronic inflammatory ulceration
1615,what does this image show?,cross sections showing apparently four arteries and two veins,two kidney stones
1616,does this image show cross sections showing apparently four arteries and two veins?,yes,yes
1617,does adenocarcinoma show cross sections showing apparently four arteries and two veins?,no,no
1618,what is present?,female reproductive,female reproductive
1619,is female reproductive present?,yes,yes
1620,is acute lymphocytic leukemia present?,no,yes
1621,what is present?,umbilical cord,female reproductive
1622,is umbilical cord present?,yes,no
1623,is hemochromatosis present?,no,yes
1624,what is present?,siamese twins,female reproductive
1625,does this full-thickness histologic section show that disease is limited to the mucosa?,yes,yes
1626,is siamese twins present?,yes,yes
1627,is intraductal lesions present?,no,no
1628,where does this belong to?,female reproductive system,female reproductive system
1629,what is present?,female reproductive,female reproductive
1630,what is present?,umbilical cord,female reproductive
1631,what is present?,siamese twins,female reproductive
1632,what did not mention?,fixed tissue large hemorrhagic cyst in ovary with several corpora lutea for size comparison sure of this diagnosis but sure looks like on autopsy diagnoses,female reproductive system
1633,did ml not mention?,no,yes
1634,what does this image show?,fixed tissue large hemorrhagic cyst in ovary with several corpora lutea for size comparison not sure of diagnosis but sure looks like on autopsy diagnoses did not mention,opened uterus with two small hemorrhagic ovarian cysts and small myomatous node
1635,what is present?,female reproductive,female reproductive
1636,does this section show that disease is limited to the mucosa?,no,yes
1637,is female reproductive present?,yes,yes
1638,what is present?,ovary,female reproductive
1639,is ovary present?,yes,yes
1640,what is present?,cyst,female reproductive
1641,is cyst present?,yes,yes
1642,where does this belong to?,female reproductive system,female reproductive system
1643,what did not mention?,fixed tissue large hemorrhagic cyst in ovary with several corpora lutea for size comparison sure of this diagnosis but sure looks like on autopsy diagnoses,female reproductive system
1644,what is present?,female reproductive,female reproductive
1645,what is present?,ovary,female reproductive
1646,what is present?,cyst,female reproductive
1647,how many tubular adenomas are present in this single microscopic field?,three,two
1648,when does this image show 18 hours?,after cesarean section,after amniotomy
1649,what does this image show?,18 hours after cesarean section,opened uterus with large myoma
1650,does this image show 18 hours after cesarean section?,yes,yes
1651,what is present?,female reproductive,uterus
1652,is female reproductive present?,yes,yes
1653,what is present?,uterus,uterus
1654,is uterus present?,yes,yes
1655,what is present?,postpartum,uterus
1656,is postpartum present?,yes,yes
1657,where does this belong to?,female reproductive system,female reproductive system
1658,what are present in this single microscopic field?,three tubular adenomas,multiple crypts
1659,what is present?,female reproductive,uterus
1660,what is present?,uterus,uterus
1661,what is present?,postpartum,uterus
1662,when does this image show close-up view of endometrial surface 18 hours?,after a cesarean section,after curettage
1663,what does this image show?,close-up view of endometrial surface 18 hours after a cesarean section,opened uterus with large myoma
1664,does this image show close-up view of endometrial surface 18 hours after a cesarean section?,yes,yes
1665,what is present?,female reproductive,uterus
1666,is female reproductive present?,yes,yes
1667,what is present?,uterus,uterus
1668,is uterus present?,yes,yes
1669,"are small intestine stem cells typical of antibodies reactive with dsdna, nucleosomes, and histones, and is common in sle?",no,yes
1670,where are three tubular adenomas present?,in a single microscopic field,right colon
1671,what is present?,postpartum,uterus
1672,is postpartum present?,yes,yes
1673,where does this belong to?,female reproductive system,female reproductive system
1674,what is present?,female reproductive,uterus
1675,what is present?,uterus,uterus
1676,what is present?,postpartum,uterus
1677,what does this image show?,thick capsule with some cysts,opened uterus with two very large myomas
1678,how does this image show thick capsule?,with some cysts,with yellow tan cut surface
1679,does this image show thick capsule with some cysts?,yes,yes
1680,does leiomyoma show thick capsule with some cysts?,no,yes
1681,are three tubular adenomas present in this single microscopic field?,yes,yes
1682,what is present?,female reproductive,female reproductive
1683,is female reproductive present?,yes,yes
1684,is amputation stump infected present?,no,yes
1685,what is present?,ovary,female reproductive
1686,is ovary present?,yes,yes
1687,is breast present?,no,yes
1688,what is present?,stein leventhal,female reproductive
1689,is stein leventhal present?,yes,yes
1690,is focal hemorrhagic infarction well shown present?,no,yes
1691,where does this belong to?,female reproductive system,female reproductive system
1692,are loosely formed interstitial granulomas and chronic inflammation present in this single microscopic field?,no,yes
1693,what is present?,female reproductive,female reproductive
1694,what is present?,ovary,female reproductive
1695,what is present?,stein leventhal,female reproductive
1696,what does this image show?,infant bicornate uterus,uterus
1697,does this image show infant bicornate uterus?,yes,yes
1698,does this show infant bicornate uterus?,no,yes
1699,what is present?,female reproductive,uterus
1700,is female reproductive present?,yes,yes
1701,is fibrinous peritonitis present?,no,yes
1702,what is present?,bicornate uterus,uterus
1703,what stain is seen after diastase digestion?,pas-d,iron
1704,is bicornate uterus present?,yes,yes
1705,is yo present?,no,no
1706,where does this belong to?,female reproductive system,female reproductive system
1707,what is present?,female reproductive,uterus
1708,what is present?,bicornate uterus,uterus
1709,what does this image show?,excellent example of submucosal,uterus
1710,does this image show excellent example of submucosal?,yes,yes
1711,does sacrococcygeal teratoma show excellent example of submucosal?,no,no
1712,what is present?,female reproductive,uterus
1713,is female reproductive present?,yes,yes
1714,what indicate foci of hepatocytes undergoing necrosis in this pas-d-stained biopsy from a patient with acute hepatitis b?,clusters of pigmented hepatocytes with eosinophilic cytoplasm,haemolytic
1715,is amyloidosis present?,no,no
1716,what is present?,uterus,uterus
1717,is uterus present?,yes,yes
1718,is left ventricle hypertrophy present?,no,no
1719,what is present?,leiomyoma,uterus
1720,is leiomyoma present?,yes,yes
1721,is abdomen present?,no,yes
1722,where does this belong to?,female reproductive system,female reproductive system
1723,what is present?,female reproductive,uterus
1724,what is present?,uterus,uterus
1725,what do clusters of pigmented hepatocytes with eosinophilic cytoplasm indicate?,foci of hepatocytes undergoing necrosis,acute viral hepatitis
1726,what is present?,leiomyoma,uterus
1727,what is quite obvious?,this typical thecoma with yellow foci,cut surface
1728,is this typical thecoma with yellow foci quite obvious?,yes,yes
1729,is autopsy quite obvious?,no,yes
1730,what is no ovary present to indicate the location of the tumor mass?,there,no
1731,what is there to indicate the location of the tumor mass?,no ovary present,cut surface shows yellow tumour with haemorrhage
1732,is there no ovary present to indicate the location of the tumor mass?,yes,yes
1733,is breast no ovary present to indicate the location of the tumor mass?,no,yes
1734,what is present?,female reproductive,female reproductive
1735,is female reproductive present?,yes,yes
1736,do clusters of pigmented hepatocytes with eosinophilic cytoplasm indicate foci of hepatocytes undergoing necrosis in this pas-d-stained biopsy from a patient with acute hepatitis b?,yes,yes
1737,is cystadenocarcinoma malignancy present?,no,yes
1738,what is present?,thecoma,female reproductive
1739,is thecoma present?,yes,yes
1740,is simian crease present?,no,no
1741,where does this belong to?,female reproductive system,female reproductive system
1742,what is quite obvious?,this typical thecoma with yellow foci,cut surface
1743,what is no ovary present to indicate the location of the tumor mass?,there,no
1744,what is there to indicate the location of the tumor mass?,no ovary present,cut surface shows yellow tumour with haemorrhage
1745,what is present?,female reproductive,female reproductive
1746,what is present?,thecoma,female reproductive
1747,do immature myeloid cells indicate foci of hepatocytes undergoing necrosis in this pas-d-stained biopsy from a patient with acute hepatitis b?,no,yes
1748,how is this typical thecoma with yellow foci quite?,obvious,good
1749,how is there no present to indicate the location of the tumor mass?,ovary,cut surface
1750,what does this image show?,normal breast,brain
1751,does this image show normal breast?,yes,yes
1752,does hematoma show normal breast?,no,no
1753,what is present?,female reproductive,nervous
1754,is female reproductive present?,yes,yes
1755,is pituitectomy present?,no,no
1756,where is this from?,female reproductive system,nervous
1757,what is present?,female reproductive,nervous
1758,"what does pas-d, periodic acid-schiff stain after?",diastase digestion,iron deposition
1759,what does this image show?,normal breast,ulcerative colitis
1760,does this image show normal breast?,yes,yes
