ID,question,correct_answer,model_output
1437,is leg present?,yes,yes
1438,what are present?,extremities,"erythema
petechiae
purpura"
1439,what is present?,leg,"erythema
petechiae
purpura"
1440,what does this image show?,excellent example gangrene first,discoloration of the finger
1441,does this image show excellent example gangrene first?,yes,yes
1442,what are present?,extremities,dark discoloration
1443,are extremities present?,yes,yes
1444,what are present?,extremities,dark discoloration
1445,what does this image show?,well demarcated gangrene third and fourth toes,foot ulceration with necrosis
1446,does this image show well demarcated gangrene third and fourth toes?,yes,yes
1447,"are the photomicrographs typical of antibodies reactive with dsdna, nucleosomes, and histones?",no,yes
1448,what are seen on the left?,the normal gland acini,glandular tissue
1449,what are present?,extremities,"foot ulceration
discoloration
edema
skin thickening
yellowish discoloration"
1450,are extremities present?,yes,yes
1451,what are present?,extremities,"foot ulceration
discoloration
edema
skin thickening
yellowish discoloration"
1452,what does this image show?,excellent great toe lesion,ulcerated lesion on the distal phalanx
1453,does this image show excellent great toe lesion?,yes,yes
1454,does marfans syndrome show excellent great toe lesion?,no,ulcerated lesion
1455,what are present?,extremities,"ulceration
erythema
excoriation
necrosis"
1456,are extremities present?,yes,yes
1457,are hours present?,no,ulceration
1458,what is present?,gangrene,"ulceration
discoloration
erythema
inflammation"
1459,where are the normal gland acini seen?,on the left,left side of the image
1460,is gangrene present?,yes,yes
1461,is metastatic carcinoma prostate present?,no,no
1462,what are present?,extremities,"ulceration
erythema
excoriation
necrosis"
1463,what is present?,gangrene,"ulceration
discoloration
erythema
inflammation"
1464,what said to be due to embolism?,excellent gangrenous necrosis of fingers,discoloration
1465,why is excellent gangrenous necrosis of fingers said to be?,due embolism,dark discoloration
1466,what is excellent gangrenous necrosis of fingers said?,to be due to embolism,discoloration
1467,is excellent gangrenous necrosis of fingers said to be due to embolism?,yes,gangrenous necrosis
1468,is digits said to be due to embolism?,no,cyanosis
1469,why does this image show excellent gangrenous necrosis of fingers said to be?,due embolism,extensive bruising and discoloration
1470,are the normal gland acini seen on the left?,yes,yes
1471,what does this image show?,excellent gangrenous necrosis of fingers said to be due to embolism,discoloration of the foot and hand
1472,does this image show excellent gangrenous necrosis of fingers said to be due to embolism?,yes,yes
1473,does this section show excellent gangrenous necrosis of fingers said to be due to embolism?,no,yes
1474,what are present?,extremities,"bruising
discoloration
tissue damage"
1475,are extremities present?,yes,yes
1476,are cells present?,no,no
1477,what said to be due to embolism?,excellent gangrenous necrosis of fingers,discoloration
1478,what are present?,extremities,"bruising
discoloration
tissue damage"
1479,how is excellent gangrenous necrosis of fingers said to be to embolism?,due,no information
1480,what does this image show?,close-up view of gangrene,partial skin necrosis
1481,are the lower lobe seen on the left?,no,yes
1482,does this image show close-up view of gangrene?,yes,yes
1483,does atherosclerosis show close-up view of gangrene?,no,no
1484,what are present?,extremities,"ulceration
necrosis
erythema
granulation tissue"
1485,are extremities present?,yes,yes
1486,are renal polycystic disease legs present?,no,no
1487,what is present?,feet,"ulcerated tissue
dark discoloration
erythema"
1488,is feet present?,yes,yes
1489,is six digits present?,no,yes
1490,what are present?,extremities,"ulceration
necrosis
erythema
granulation tissue"
1491,what is present?,feet,"ulcerated tissue
dark discoloration
erythema"
1492,does endoscopic view of a longitudinally-oriented mallory-weiss tear?,yes,yes
1493,how many toes does this image show excellent example of gangrene of the first?,four,five
1494,what does this image show?,excellent example of gangrene of the first four toes,extensive burns to the foot and toes
1495,does this image show excellent example of gangrene of the first four toes?,yes,yes
1496,does omentum show excellent example of gangrene of the first four toes?,no,no
1497,what are present?,extremities,"extensive blistering
partial skin necrosis
red discoloration
ulceration"
1498,are extremities present?,yes,yes
1499,are feet present?,no,yes
1500,what are present?,extremities,"extensive blistering
partial skin necrosis
red discoloration
ulceration"
1501,what requires dark room to see subtle distal phalangeal cyanosis?,case of dic not bad photo,blue discoloration
1502,what does case of dic not bad photo require?,dark room to see subtle distal phalangeal cyanosis,clubbing
1503,does the palisade of cartilage tear?,no,no
1504,does case of dic not bad photo require dark room to see subtle distal phalangeal cyanosis?,yes,no
1505,does pus in test tube require dark room to see subtle distal phalangeal cyanosis?,no,no
1506,what does this image show?,case of dic not bad photo requires dark room to see subtle distal phalangeal cyanosis,clubbing of fingers
1507,does this image show case of dic not bad photo requires dark room to see subtle distal phalangeal cyanosis?,yes,cyanosis present
1508,does metastatic carcinoma lung show case of dic not bad photo requires dark room to see subtle distal phalangeal cyanosis?,no,distal phalangeal cyanosis
1509,what are present?,extremities,"swelling
clubbing
discoloration of nails"
1510,are extremities present?,yes,yes
1511,are hyalin mass in pituitary which is amyloid there are several slides from this case in this file 23 yowf amyloid limited to brain present?,no,yellow discoloration of nails
1512,what is present?,hand,"clubbing
nail dystrophy
swelling"
1513,is hand present?,yes,yes
1514,"what is found in the mid-esophagus, where it commonly causes strictures?",squamous cell carcinoma,irregular thickening
1515,is parathyroid present?,no,no
1516,what is present?,acrocyanosis,"clubbing
nail dystrophy
swelling"
1517,is acrocyanosis present?,yes,yes
1518,is lymphoma present?,no,no
1519,what requires dark room to see subtle distal phalangeal cyanosis?,case of dic not bad photo,blue discoloration
1520,what are present?,extremities,"swelling
clubbing
discoloration of nails"
1521,what is present?,hand,"clubbing
nail dystrophy
swelling"
1522,what is present?,acrocyanosis,"clubbing
nail dystrophy
swelling"
1523,how does case of dic not bad photo require room to see subtle distal phalangeal cyanosis?,dark,distal phalangeal cyanosis present
1524,how does case of dic not bad photo require dark room to see distal phalangeal cyanosis?,subtle,dark room enhances cyanosis
1525,where is squamous cell carcinoma found?,in the mid-esophagus,esophagus
1526,how does case of dic not bad photo require dark room to see subtle phalangeal cyanosis?,distal,dark room enhances cyanosis
1527,what does this image show?,toes,discolored feet
1528,"does this image show toes, dry gangrene?",yes,"toes
dry gangrene"
1529,"does previous slide from this case show toes, dry gangrene?",no,"toes
dry gangrene"
1530,what are present?,extremities,"redness
swelling
discoloration
black nail"
1531,are extremities present?,yes,yes
1532,are section of both kidneys and adrenals present?,no,no
1533,what are present?,extremities,"redness
swelling
discoloration
black nail"
1534,what does this image show?,disseminated intravascular coagulation dic,tissue with multiple dark spots
1535,does this image show disseminated intravascular coagulation dic?,yes,yes
1536,"is squamous cell carcinoma found in the mid-esophagus, where it commonly causes strictures?",yes,no
1537,does child show disseminated intravascular coagulation dic?,no,nodular hemorrhagic lesion
1538,what is present?,eye,"pale tissue
dark spots
bone"
1539,is eye present?,yes,yes
1540,is mucoepidermoid carcinoma present?,no,yes
1541,what is present?,eye,"pale tissue
dark spots
bone"
1542,what does this image show?,disseminated intravascular coagulation dic,hair follicle
1543,does this image show disseminated intravascular coagulation dic?,yes,yes
1544,does lymphangiomatosis generalized show disseminated intravascular coagulation dic?,no,no
1545,what is present?,eye,"dark linear structures
cellular infiltration
background staining"
1546,is eye present?,yes,yes
1547,"is cd15 found in the mid-esophagus, where it commonly causes strictures?",no,no
1548,is this photo of infant from head to toe present?,no,no
1549,what is present?,eye,"dark linear structures
cellular infiltration
background staining"
1550,what does this image show?,uterus,uterus with ulceration and necrosis
1551,"does this image show uterus, fallopian tubes, ovaries ; normal?",yes,"uterus, fallopian tubes, ovaries ; abnormal"
1552,"does chronic ischemia show uterus, fallopian tubes, ovaries ; normal?",no,chronic ischemia uterus fallopian tubes ovaries abnormal
1553,where does this part belong to?,female reproductive system,uterus
1554,what does this image show?,uterus,brain tissue
1555,"does this image show uterus, leiomyoma?",yes,"uterus
leiomyoma"
1556,"does muscle atrophy show uterus, leiomyoma?",no,yes
1557,where does this part belong to?,female reproductive system,brain
1558,"are skin stem cells typical of antibodies reactive with dsdna, nucleosomes, and histones, and common in sle?",no,green fluorescent cells
1559,what is limited to the mucosa?,disease,epithelial cells
1560,what does this image show?,uterus,multiple masses
1561,"does this image show uterus, leiomyoma?",yes,uterus leiomyoma
1562,"does cardiovascular show uterus, leiomyoma?",no,uterus present leiomyoma present
1563,where does this part belong to?,female reproductive system,ovary
1564,what does this image show?,nicely shown large neoplasm with fish flesh cerebriform appearance,dissected organ with areas of necrosis and hemorrhage
1565,does this image show nicely shown large neoplasm with fish flesh cerebriform appearance?,yes,yes
1566,does 70yof show nicely shown large neoplasm with fish flesh cerebriform appearance?,no,yes
1567,what is present?,female reproductive,reddish tissue masses irregular vasculature hemorrhage
1568,is female reproductive present?,yes,yes
1569,is leiomyomas present?,no,no
1570,what is disease limited to?,the mucosa,epithelium
1571,what is present?,uterus,reddish tissue masses irregular vasculature hemorrhage
1572,is uterus present?,yes,no
1573,is surface present?,no,yes
1574,what is present?,leiomyosarcoma,reddish tissue masses irregular vasculature hemorrhage
1575,is leiomyosarcoma present?,yes,yes
1576,is heart present?,no,no
1577,where does this part belong to?,female reproductive system,testis
1578,what is present?,female reproductive,reddish tissue masses irregular vasculature hemorrhage
1579,what is present?,uterus,reddish tissue masses irregular vasculature hemorrhage
1580,what is present?,leiomyosarcoma,reddish tissue masses irregular vasculature hemorrhage
1581,is disease limited to the mucosa?,yes,yes
1582,what does this image show?,fixed tissue close-up well shown tan-orange luteum tissue cysts in sliced ovaries three day old,lungs
1583,does this image show fixed tissue close-up well shown tan-orange luteum tissue cysts in sliced ovaries three day old?,yes,fixed tissue close-up tan-orange luteum tissue cysts in sliced ovaries
1584,what is present?,female reproductive,lungs and bronchi
1585,is female reproductive present?,yes,uterus present
1586,what is present?,ovary,lungs and bronchi
1587,is ovary present?,yes,yes
1588,what is present?,theca luteum cysts in newborn,lungs and bronchi
1589,is theca luteum cysts in newborn present?,yes,yes
1590,where does this belong to?,female reproductive system,lungs
1591,what is present?,female reproductive,lungs and bronchi
1592,is masson trichrome limited to the mucosa?,no,yes
1593,what is present?,ovary,lungs and bronchi
1594,what is present?,theca luteum cysts in newborn,lungs and bronchi
1595,what does this image show?,saggital section which is a very good illustration of lesion,hemorrhagic uterus
1596,does this image show saggital section which is a very good illustration of this lesion?,yes,yes
1597,does spina bifida show saggital section which is a very good illustration of this lesion?,no,yes
1598,what is present?,female reproductive,dark red tissue with hemorrhagic areas and a white mass
1599,is female reproductive present?,yes,yes
1600,is gout present?,no,no
1601,what is present?,placenta,dark red tissue with hemorrhagic areas and a white mass
1602,is placenta present?,yes,yes
1603,what shows that disease is limited to the mucosa?,the full-thickness histologic section,Epithelial layer preservation
1604,is glomerulosa present?,no,no
1605,what is present?,abruption,dark red tissue with hemorrhagic areas and a white mass
1606,is abruption present?,yes,yes
1607,is palmar crease normal present?,no,no
1608,where does this belong to?,female reproductive system,uterus
1609,what is present?,female reproductive,dark red tissue with hemorrhagic areas and a white mass
1610,what is present?,placenta,dark red tissue with hemorrhagic areas and a white mass
1611,what is present?,abruption,dark red tissue with hemorrhagic areas and a white mass
1612,how many arteries does this image show cross sections showing apparently and two veins?,four,two arteries two veins
1613,how many veins does this image show cross sections showing apparently four arteries and?,two,four veins
1614,what does this full-thickness histologic section show?,disease is limited to the mucosa,full-thickness mucosa
1615,what does this image show?,cross sections showing apparently four arteries and two veins,three tissue fragments with dark spots
1616,does this image show cross sections showing apparently four arteries and two veins?,yes,yes
1617,does adenocarcinoma show cross sections showing apparently four arteries and two veins?,no,no
1618,what is present?,female reproductive,three tissue fragments with dark spots
1619,is female reproductive present?,yes,yes
1620,is acute lymphocytic leukemia present?,no,no
1621,what is present?,umbilical cord,three tissue fragments with dark spots
1622,is umbilical cord present?,yes,yes
1623,is hemochromatosis present?,no,nodular pigmentation
1624,what is present?,siamese twins,three tissue fragments with dark spots
1625,does this full-thickness histologic section show that disease is limited to the mucosa?,yes,yes
1626,is siamese twins present?,yes,conjoined
1627,is intraductal lesions present?,no,no
1628,where does this belong to?,female reproductive system,testis
1629,what is present?,female reproductive,three tissue fragments with dark spots
1630,what is present?,umbilical cord,three tissue fragments with dark spots
1631,what is present?,siamese twins,three tissue fragments with dark spots
1632,what did not mention?,fixed tissue large hemorrhagic cyst in ovary with several corpora lutea for size comparison sure of this diagnosis but sure looks like on autopsy diagnoses,lung tissue
1633,did ml not mention?,no,pulmonary nodules
1634,what does this image show?,fixed tissue large hemorrhagic cyst in ovary with several corpora lutea for size comparison not sure of diagnosis but sure looks like on autopsy diagnoses did not mention,pulmonary nodules with central necrosis
1635,what is present?,female reproductive,multiple dark lesions within the lung parenchyma and pulmonary artery
1636,does this section show that disease is limited to the mucosa?,no,yes
1637,is female reproductive present?,yes,yes
1638,what is present?,ovary,multiple dark lesions within the lung parenchyma and pulmonary artery
1639,is ovary present?,yes,yes
1640,what is present?,cyst,multiple dark lesions within the lung parenchyma and pulmonary artery
1641,is cyst present?,yes,yes
1642,where does this belong to?,female reproductive system,lung
1643,what did not mention?,fixed tissue large hemorrhagic cyst in ovary with several corpora lutea for size comparison sure of this diagnosis but sure looks like on autopsy diagnoses,lung tissue
1644,what is present?,female reproductive,multiple dark lesions within the lung parenchyma and pulmonary artery
1645,what is present?,ovary,multiple dark lesions within the lung parenchyma and pulmonary artery
1646,what is present?,cyst,multiple dark lesions within the lung parenchyma and pulmonary artery
1647,how many tubular adenomas are present in this single microscopic field?,three,three
1648,when does this image show 18 hours?,after cesarean section,dark discoloration
1649,what does this image show?,18 hours after cesarean section,dissected tissue
1650,does this image show 18 hours after cesarean section?,yes,reddish discoloration
1651,what is present?,female reproductive,"dark red tissue
irregular surface
bleeding"
1652,is female reproductive present?,yes,yes
1653,what is present?,uterus,"dark red tissue
irregular surface
bleeding"
1654,is uterus present?,yes,yes
1655,what is present?,postpartum,"dark red tissue
irregular surface
bleeding"
1656,is postpartum present?,yes,yes
1657,where does this belong to?,female reproductive system,prostate
1658,what are present in this single microscopic field?,three tubular adenomas,"columnar epithelium
goblet cells
crypts
lamina propria"
1659,what is present?,female reproductive,"dark red tissue
irregular surface
bleeding"
1660,what is present?,uterus,"dark red tissue
irregular surface
bleeding"
1661,what is present?,postpartum,"dark red tissue
irregular surface
bleeding"
1662,when does this image show close-up view of endometrial surface 18 hours?,after a cesarean section,endometrial surface not visible
1663,what does this image show?,close-up view of endometrial surface 18 hours after a cesarean section,extensive hemorrhage and tissue disruption
1664,does this image show close-up view of endometrial surface 18 hours after a cesarean section?,yes,no
1665,what is present?,female reproductive,"extensive hemorrhage
disruption of tissue architecture
irregular surface texture"
1666,is female reproductive present?,yes,no
1667,what is present?,uterus,"extensive hemorrhage
disruption of tissue architecture
irregular surface texture"
1668,is uterus present?,yes,no
1669,"are small intestine stem cells typical of antibodies reactive with dsdna, nucleosomes, and histones, and is common in sle?",no,green fluorescent cells
1670,where are three tubular adenomas present?,in a single microscopic field,right upper quadrant left upper quadrant right lower quadrant
1671,what is present?,postpartum,"extensive hemorrhage
disruption of tissue architecture
irregular surface texture"
1672,is postpartum present?,yes,no
1673,where does this belong to?,female reproductive system,abdomen
1674,what is present?,female reproductive,"extensive hemorrhage
disruption of tissue architecture
irregular surface texture"
1675,what is present?,uterus,"extensive hemorrhage
disruption of tissue architecture
irregular surface texture"
1676,what is present?,postpartum,"extensive hemorrhage
disruption of tissue architecture
irregular surface texture"
1677,what does this image show?,thick capsule with some cysts,dissected tissue specimens
1678,how does this image show thick capsule?,with some cysts,irregular borders
1679,does this image show thick capsule with some cysts?,yes,no
1680,does leiomyoma show thick capsule with some cysts?,no,no
1681,are three tubular adenomas present in this single microscopic field?,yes,yes
1682,what is present?,female reproductive,reddish tissue discoloration necrosis ulceration
1683,is female reproductive present?,yes,no
1684,is amputation stump infected present?,no,yes
1685,what is present?,ovary,reddish tissue discoloration necrosis ulceration
1686,is ovary present?,yes,no
1687,is breast present?,no,no
1688,what is present?,stein leventhal,reddish tissue discoloration necrosis ulceration
1689,is stein leventhal present?,yes,yes
1690,is focal hemorrhagic infarction well shown present?,no,yes
1691,where does this belong to?,female reproductive system,intestine
1692,are loosely formed interstitial granulomas and chronic inflammation present in this single microscopic field?,no,yes
1693,what is present?,female reproductive,reddish tissue discoloration necrosis ulceration
1694,what is present?,ovary,reddish tissue discoloration necrosis ulceration
1695,what is present?,stein leventhal,reddish tissue discoloration necrosis ulceration
1696,what does this image show?,infant bicornate uterus,uterus with edema and petechiae
1697,does this image show infant bicornate uterus?,yes,yes
1698,does this show infant bicornate uterus?,no,yes
1699,what is present?,female reproductive,uterus with edema and petechiae
1700,is female reproductive present?,yes,yes
1701,is fibrinous peritonitis present?,no,yes
1702,what is present?,bicornate uterus,uterus with edema and petechiae
1703,what stain is seen after diastase digestion?,pas-d,clear nuclei
1704,is bicornate uterus present?,yes,yes
1705,is yo present?,no,yes
1706,where does this belong to?,female reproductive system,uterus
1707,what is present?,female reproductive,uterus with edema and petechiae
1708,what is present?,bicornate uterus,uterus with edema and petechiae
1709,what does this image show?,excellent example of submucosal,a large reddish mass
1710,does this image show excellent example of submucosal?,yes,no
1711,does sacrococcygeal teratoma show excellent example of submucosal?,no,no
1712,what is present?,female reproductive,red tissue mass
1713,is female reproductive present?,yes,yes
1714,what indicate foci of hepatocytes undergoing necrosis in this pas-d-stained biopsy from a patient with acute hepatitis b?,clusters of pigmented hepatocytes with eosinophilic cytoplasm,pink cytoplasmic changes
1715,is amyloidosis present?,no,no
1716,what is present?,uterus,red tissue mass
1717,is uterus present?,yes,yes
1718,is left ventricle hypertrophy present?,no,no
1719,what is present?,leiomyoma,red tissue mass
1720,is leiomyoma present?,yes,yes
1721,is abdomen present?,no,yes
1722,where does this belong to?,female reproductive system,uterus
1723,what is present?,female reproductive,red tissue mass
1724,what is present?,uterus,red tissue mass
1725,what do clusters of pigmented hepatocytes with eosinophilic cytoplasm indicate?,foci of hepatocytes undergoing necrosis,necrosis
1726,what is present?,leiomyoma,red tissue mass
1727,what is quite obvious?,this typical thecoma with yellow foci,pale tissue with yellow discoloration
1728,is this typical thecoma with yellow foci quite obvious?,yes,typical
1729,is autopsy quite obvious?,no,yes
1730,what is no ovary present to indicate the location of the tumor mass?,there,ovaries absent
1731,what is there to indicate the location of the tumor mass?,no ovary present,irregular margins
1732,is there no ovary present to indicate the location of the tumor mass?,yes,yes
1733,is breast no ovary present to indicate the location of the tumor mass?,no,breast
1734,what is present?,female reproductive,two lobes with yellow discoloration
1735,is female reproductive present?,yes,yes
1736,do clusters of pigmented hepatocytes with eosinophilic cytoplasm indicate foci of hepatocytes undergoing necrosis in this pas-d-stained biopsy from a patient with acute hepatitis b?,yes,no
1737,is cystadenocarcinoma malignancy present?,no,cystadenocarcinoma
1738,what is present?,thecoma,two lobes with yellow discoloration
1739,is thecoma present?,yes,likely
1740,is simian crease present?,no,no
1741,where does this belong to?,female reproductive system,kidney
1742,what is quite obvious?,this typical thecoma with yellow foci,pale tissue with yellow discoloration
1743,what is no ovary present to indicate the location of the tumor mass?,there,ovaries absent
1744,what is there to indicate the location of the tumor mass?,no ovary present,irregular margins
1745,what is present?,female reproductive,two lobes with yellow discoloration
1746,what is present?,thecoma,two lobes with yellow discoloration
1747,do immature myeloid cells indicate foci of hepatocytes undergoing necrosis in this pas-d-stained biopsy from a patient with acute hepatitis b?,no,no
1748,how is this typical thecoma with yellow foci quite?,obvious,yellow foci present
1749,how is there no present to indicate the location of the tumor mass?,ovary,no present
1750,what does this image show?,normal breast,microcysts
1751,does this image show normal breast?,yes,no
1752,does hematoma show normal breast?,no,no
1753,what is present?,female reproductive,"microcysts
vacuolations
cellular infiltrate"
1754,is female reproductive present?,yes,no
1755,is pituitectomy present?,no,no
1756,where is this from?,female reproductive system,brain tissue
1757,what is present?,female reproductive,"microcysts
vacuolations
cellular infiltrate"
1758,"what does pas-d, periodic acid-schiff stain after?",diastase digestion,blue staining
1759,what does this image show?,normal breast,lymphoid tissue
1760,does this image show normal breast?,yes,no
1761,does female reproductive show normal breast?,no,no
1762,what is present?,female reproductive,"pink tissue
white cells
dark staining structures
pink staining structures"
1763,is female reproductive present?,yes,no
1764,is abdomen present?,no,no
1765,where is this from?,female reproductive system,brain tissue
1766,what is present?,female reproductive,"pink tissue
white cells
dark staining structures
pink staining structures"
1767,what does this image show?,normal breast,acidophilic bodies
1768,does this image show normal breast?,yes,no
1769,"does pas-d, periodic acid-schiff stain after diastase digestion?",yes,irregular staining pattern
1770,does yellow color show normal breast?,no,no
1771,what is present?,female reproductive,cellular infiltration
1772,is female reproductive present?,yes,no
1773,is endocrine present?,no,no
1774,where is this from?,female reproductive system,lung
1775,what is present?,female reproductive,cellular infiltration
1776,what does this image show?,uterus,cellular infiltrate
1777,"does this image show uterus, leiomyoma?",yes,no
1778,"does hematoma show uterus, leiomyoma?",no,no
1779,what is present?,female reproductive,cellular infiltrate
1780,what is typical of antibodies against nucleolar proteins?,a nucleolar pattern,green fluorescent punctate staining
1781,does a crypt abscess stain after diastase digestion?,no,yes
1782,is female reproductive present?,yes,no
1783,is inflamed exocervix present?,no,no
1784,where is this from?,female reproductive system,lung
1785,what is present?,female reproductive,cellular infiltrate
1786,what does this image show?,uterus,muscle fibers
1787,"does this image show uterus, leiomyoma?",yes,no
1788,"does leiomyoma show uterus, leiomyoma?",no,leiomyoma present
1789,what is present?,female reproductive,red stained fibers and cells
1790,is female reproductive present?,yes,no
1791,is chromophobe adenoma present?,no,no
1792,"when does pas-d , periodic acid-schiff stain?",after diastase digestion,blue staining
1793,where is this from?,female reproductive system,muscle tissue
1794,what is present?,female reproductive,red stained fibers and cells
1795,what does this image show?,normal uterus,stained glandular tissue with irregular morphology and increased cell density
1796,does this image show normal uterus?,yes,no
1797,does this show normal uterus?,no,no
1798,what stain?,alpha smooth muscle actin immunohistochemical,immunohistochemistry
1799,do alpha smooth muscle actin immunohistochemical stain?,yes,positive staining
1800,do fibroma stain?,no,brown staining
1801,what is present?,female reproductive,"brown staining
irregular cells
nuclear variation
cytoplasmic variation"
1802,is female reproductive present?,yes,yes
1803,what shows scattered apoptotic hepatocytes and a patchy inflammatory infiltrate?,the biopsy from a patient with lobular hepatitis due chronic hepatitis c,"scattered apoptotic hepatocytes
patchy inflammatory infiltrate"
1804,is chronic ischemia present?,no,no
1805,where is this from?,female reproductive system,glandular tissue
1806,what stain?,"normal uterus, alpha smooth muscle actin immunohistochemical",immunohistochemistry
1807,what is present?,female reproductive,"brown staining
irregular cells
nuclear variation
cytoplasmic variation"
1808,what does this image show?,leiomyoma,neoplastic tissue
1809,does this image show leiomyoma?,yes,no
1810,does heel ulcer show leiomyoma?,no,no
1811,what stain?,alpha smooth muscle actin immunohistochemical,immunohistochemistry
1812,do alpha smooth muscle actin immunohistochemical stain?,yes,positive
1813,do no tissue recognizable as ovary stain?,no,no
1814,what does this biopsy from a patient with lobular hepatitis due to chronic hepatitis c show?,scattered apoptotic hepatocytes and a patchy inflammatory infiltrate,vacuolations in hepatocytes
1815,what is present?,female reproductive,neoplastic cells
1816,is female reproductive present?,yes,no
1817,is serous cyst present?,no,no
1818,where is this from?,female reproductive system,breast tissue
1819,what stain?,"leiomyoma, alpha smooth muscle actin immunohistochemical",immunohistochemistry
1820,what is present?,female reproductive,neoplastic cells
1821,what does this image show?,uterus,muscle fibers
1822,"does this image show uterus, leiomyomas?",yes,no
1823,"does band constriction in skin above ankle of infant show uterus, leiomyomas?",no,no
1824,what is present?,female reproductive,fibers and cells
1825,does this biopsy from a patient with lobular hepatitis due to chronic hepatitis c show scattered apoptotic hepatocytes and a patchy inflammatory infiltrate?,yes,"scattered apoptotic hepatocytes
patchy inflammatory infiltrate"
1826,is female reproductive present?,yes,no
1827,is source present?,no,yes
1828,where is this from?,female reproductive system,muscle tissue
1829,what is present?,female reproductive,fibers and cells
1830,what does this image show?,uterus,circular structure within a tissue section
1831,"does this image show uterus, leiomyomas?",yes,"uterus
leiomyomas"
1832,"does atheromatous embolus show uterus, leiomyomas?",no,no
1833,what is present?,female reproductive,circular structure
1834,is female reproductive present?,yes,no
1835,is spina bifida present?,no,no
1836,does acute rheumatic mitral valvulitis show scattered apoptotic hepatocytes and a patchy inflammatory infiltrate double?,no,yes
1837,where is this from?,female reproductive system,heart
1838,what is present?,female reproductive,circular structure
1839,what does this image show?,leiomyoma,irregular pink tissue with vascularity
1840,"does this image show leiomyoma, trichrome?",yes,yes
1841,"does eosinophilic adenoma show leiomyoma, trichrome?",no,no
1842,what is present?,female reproductive,pink tissue with vascularity
1843,is female reproductive present?,yes,no
1844,is cranial artery present?,no,yes
1845,where is this from?,female reproductive system,breast tissue
1846,what is present?,female reproductive,pink tissue with vascularity
1847,what is caused by acetaminophen overdose?,hepatocellular necrosis,necrosis
1848,what does this image show?,nice view of tumor primarily stromal element,dense cellular infiltrate
1849,does this image show nice view of tumor primarily stromal element?,yes,yes
1850,does peritoneal fluid show nice view of tumor primarily stromal element?,no,no
1851,what is present?,female reproductive,cellular infiltrate
1852,is female reproductive present?,yes,no
1853,is simian crease present?,no,no
1854,what is present?,uterus,cellular infiltrate
1855,is uterus present?,yes,no
1856,is opened muscle present?,no,yes
1857,what is present?,mixed mesodermal tumor,cellular infiltrate
1858,what is hepatocellular necrosis caused by?,acetaminophen overdose,viral infection
1859,is mixed mesodermal tumor present?,yes,no
1860,is nodular tumor present?,no,yes
1861,where is this from?,female reproductive system,tissue
1862,what is present?,female reproductive,cellular infiltrate
1863,what is present?,uterus,cellular infiltrate
1864,what is present?,mixed mesodermal tumor,cellular infiltrate
1865,what is present?,female reproductive,"central nucleus
surrounding cells
vascular proliferation"
1866,is female reproductive present?,yes,yes
1867,is this typical lesion present?,no,yes
1868,what is present?,uterus,"central nucleus
surrounding cells
vascular proliferation"
1869,how is hepatocellular necrosis caused?,by acetaminophen overdose,Cellular swelling and loss of nuclear detail
1870,is uterus present?,yes,no
1871,is inflamed exocervix present?,no,no
1872,what is present?,mixed mesodermal tumor,"central nucleus
surrounding cells
vascular proliferation"
1873,is mixed mesodermal tumor present?,yes,yes
1874,is notochord present?,no,yes
1875,where is this from?,female reproductive system,neurotypical
1876,what is present?,female reproductive,"central nucleus
surrounding cells
vascular proliferation"
1877,what is present?,uterus,"central nucleus
surrounding cells
vascular proliferation"
1878,what is present?,mixed mesodermal tumor,"central nucleus
surrounding cells
vascular proliferation"
1879,what is present?,female reproductive,"glandular structures
mucosa
submucosa
stroma"
1880,is hepatocellular necrosis caused by acetaminophen overdose?,yes,necrosis present
1881,is female reproductive present?,yes,yes
1882,is opened uterus and cervix with large cervical myoma protruding into vagina slide present?,no,"opened uterus and cervix
large cervical myoma
protruding into vagina
slide present"
1883,what is present?,uterus,"glandular structures
mucosa
submucosa
stroma"
1884,is uterus present?,yes,yes
1885,is endometrial polyp present?,no,yes
1886,what is present?,fetus developing very early,"glandular structures
mucosa
submucosa
stroma"
1887,is fetus developing very early present?,yes,yes
1888,is metastatic carcinoma oat cell present?,no,no
1889,where is this from?,female reproductive system,colorectum
1890,what is present?,female reproductive,"glandular structures
mucosa
submucosa
stroma"
1891,how is a nucleolar pattern against nucleolar proteins?,typical of antibodies,scattered green punctate structures
1892,is the shape and volume of the left ventricle caused by acetaminophen overdose?,no,not visible
1893,what is present?,uterus,"glandular structures
mucosa
submucosa
stroma"
1894,what is present?,fetus developing very early,"glandular structures
mucosa
submucosa
stroma"
1895,what is present?,female reproductive,small cells and larger cells with nuclei
1896,is female reproductive present?,yes,no
1897,is amyloidosis present?,no,no
1898,what is present?,uterus,small cells and larger cells with nuclei
1899,is uterus present?,yes,no
1900,is vessel present?,no,yes
1901,what is present?,leiomyosarcoma,small cells and larger cells with nuclei
1902,is leiomyosarcoma present?,yes,no
1903,what is seen in the perivenular region?,confluent necrosis,lymphocytic infiltration
1904,is metastatic carcinoma prostate present?,no,no
1905,where is this from?,female reproductive system,brain tissue
1906,what is present?,female reproductive,small cells and larger cells with nuclei
1907,what is present?,uterus,small cells and larger cells with nuclei
1908,what is present?,leiomyosarcoma,small cells and larger cells with nuclei
1909,what does this image show?,colon biopsy,viral particles
1910,"does this image show colon biopsy, cryptosporidia?",yes,yes
