"ID","question","correct_answer","model_output"
"1377","what is a simian crease suspect?","previous slide from this case","answer: genetic mutation"
"1378","what is previous slide from this case suspect?","a simian crease","answer: sarcoidosis"
"1379","what indicated?","source","answer: clubbing"
"1380","what was taken from another case to illustrate the difference?","this","answer: skin"
"1381","is the green probe smooth with well-demarcated borders and minimal elevation in this example?","no","answer: yes"
"1382","what was this taken from to illustrate the difference?","taken another case","answer: hand"
"1383","what are present?","extremities","answer: knuckle osteoarthritis"
"1384","what is present?","hand","answer: dactylitis"
"1385","what is present?","palmar crease normal","answer: dactylitis"
"1386","how is previous slide from this case a crease suspect?","simian","answer: zone of infarction"
"1387","what does this image show?","foot of infant with gangrenous tips of all toes case of sepsis with dic","answer: ischemia"
"1388","how does this image show foot of infant?","with gangrenous tips all toes case sepsis with dic","answer: digital clubbing"
"1389","does this image show foot of infant with gangrenous tips of all toes case of sepsis with dic?","yes","answer: yes"
"1390","does chronic ischemia show foot of infant with gangrenous tips of all toes case of sepsis with dic?","no","answer: yes"
"1391","what are present?","extremities","answer: fracture bone tissue"
"1392","what is characterized by nuclear and cellular pleomorphism and loss of normal maturation?","dysplasia","answer: sarcoma"
"1393","are extremities present?","yes","answer: yes"
"1394","are x-ray intramyocardial arteries present?","no","answer: yes"
"1395","what is present?","gangrene","answer: digital clubbing"
"1396","is gangrene present?","yes","answer: yes"
"1397","is this image present?","no","answer: yes"
"1398","what are present?","extremities","answer: bone necrosis"
"1399","what is present?","gangrene","answer: ischemia"
"1400","how many toes does this image show view from dorsum of foot which has at least?","9","answer: five"
"1401","what does this image show?","view from dorsum of foot which has at least 9 toes","answer: digital necrosis"
"1402","does this image show view from dorsum of foot which has at least 9 toes?","yes","answer: yes"
"1403","what is dysplasia characterized by?","nuclear and cellular pleomorphism and loss of normal maturation","answer: columnar epithelium"
"1404","does endocrine show view from dorsum of foot which has at least 9 toes?","no","answer: yes"
"1405","what are present?","extremities","answer: digital necrosis"
"1406","are extremities present?","yes","answer: yes"
"1407","are view looking down on heads present?","no","answer: yes"
"1408","what is present?","supernumerary digits","answer: digital necrosis"
"1409","is supernumerary digits present?","yes","answer: yes"
"1410","is six digits present?","no","answer: yes"
"1411","what are present?","extremities","answer: ulceration necrosis"
"1412","what is present?","supernumerary digits","answer: cutaneous necrosis"
"1413","why does this image show obvious gangrenous necrosis?","due to shock or embolism postoperative cardiac surgery","answer: ischemia"
"1414","how is histologic appearance of leukoplakia showing dysplasia characterized?","by nuclear and cellular pleomorphism and loss of normal maturation","answer: squamous cell hyperplasia"
"1415","what does this image show?","obvious gangrenous necrosis due to shock or embolism postoperative cardiac surgery","answer: postmortem discoloration"
"1416","does this image show obvious gangrenous necrosis due to shock or embolism postoperative cardiac surgery?","yes","answer: yes"
"1417","does normal immature infant show obvious gangrenous necrosis due to shock or embolism postoperative cardiac surgery?","no","answer: yes"
"1418","what are present?","extremities","answer: discoloration cyanosis"
"1419","are extremities present?","yes","answer: yes"
"1420","are x-ray intramyocardial arteries present?","no","answer: yes"
"1421","what is present?","hand","answer: ischemia"
"1422","is hand present?","yes","answer: yes"
"1423","is cachexia present?","no","answer: yes"
"1424","what is present?","gangrene fingers","answer: discoloration"
"1425","is histologic appearance of leukoplakia showing dysplasia characterized by nuclear and cellular pleomorphism and loss of normal maturation?","yes","answer: yes"
"1426","is gangrene fingers present?","yes","answer: yes"
"1427","is skin over back a buttocks present?","no","answer: yes"
"1428","what are present?","extremities","answer: discoloration necrosis"
"1429","what is present?","hand","answer: necrosis"
"1430","what is present?","gangrene fingers","answer: cyanosis"
"1431","what does this image show?","ok but not close enough petechiae","answer: cutaneous vasculitis"
"1432","does this image show ok but not close enough petechiae?","yes","answer: yes"
"1433","what are present?","extremities","answer: vasculitis hemorrhage"
"1434","are extremities present?","yes","answer: yes"
"1435","what is present?","leg","answer: cutaneous vasculitis"
"1436","is the placenta characterized by nuclear and cellular pleomorphism and loss of normal maturation?","no","answer: yes"
"1437","is leg present?","yes","answer: yes"
"1438","what are present?","extremities","answer: vasculitis lymphangitis"
"1439","what is present?","leg","answer: purpura"
"1440","what does this image show?","excellent example gangrene first","answer: cyanosis"
"1441","does this image show excellent example gangrene first?","yes","answer: yes"
"1442","what are present?","extremities","answer: cyanosis"
"1443","are extremities present?","yes","answer: yes"
"1444","what are present?","extremities","answer: cyanosis"
"1445","what does this image show?","well demarcated gangrene third and fourth toes","answer: necrosis"
"1446","does this image show well demarcated gangrene third and fourth toes?","yes","answer: yes"
"1447","are the photomicrographs typical of antibodies reactive with dsdna, nucleosomes, and histones?","no","answer: yes"
"1448","what are seen on the left?","the normal gland acini","answer: prostate"
"1449","what are present?","extremities","answer: necrosis gangrene"
"1450","are extremities present?","yes","answer: yes"
"1451","what are present?","extremities","answer: necrosis gangrene"
"1452","what does this image show?","excellent great toe lesion","answer: gangrene"
"1453","does this image show excellent great toe lesion?","yes","answer: yes"
"1454","does marfans syndrome show excellent great toe lesion?","no","answer: yes"
"1455","what are present?","extremities","answer: necrosis and ulceration"
"1456","are extremities present?","yes","answer: yes"
"1457","are hours present?","no","answer: yes"
"1458","what is present?","gangrene","answer: necrosis"
"1459","where are the normal gland acini seen?","on the left","answer: peripheral"
"1460","is gangrene present?","yes","answer: yes"
"1461","is metastatic carcinoma prostate present?","no","answer: yes"
"1462","what are present?","extremities","answer: necrosis and ulceration"
"1463","what is present?","gangrene","answer: gangrene"
"1464","what said to be due to embolism?","excellent gangrenous necrosis of fingers","answer: ischemic necrosis"
"1465","why is excellent gangrenous necrosis of fingers said to be?","due embolism","answer: cyanide"
"1466","what is excellent gangrenous necrosis of fingers said?","to be due to embolism","answer: cyanosis"
"1467","is excellent gangrenous necrosis of fingers said to be due to embolism?","yes","answer: yes"
"1468","is digits said to be due to embolism?","no","answer: yes"
"1469","why does this image show excellent gangrenous necrosis of fingers said to be?","due embolism","answer: trauma"
"1470","are the normal gland acini seen on the left?","yes","answer: yes"
"1471","what does this image show?","excellent gangrenous necrosis of fingers said to be due to embolism","answer: postmortem discoloration"
"1472","does this image show excellent gangrenous necrosis of fingers said to be due to embolism?","yes","answer: yes"
"1473","does this section show excellent gangrenous necrosis of fingers said to be due to embolism?","no","answer: yes"
"1474","what are present?","extremities","answer: cyanosis"
"1475","are extremities present?","yes","answer: yes"
"1476","are cells present?","no","answer: yes"
"1477","what said to be due to embolism?","excellent gangrenous necrosis of fingers","answer: necrosis"
"1478","what are present?","extremities","answer: tissue necrosis"
"1479","how is excellent gangrenous necrosis of fingers said to be to embolism?","due","answer: yes"
"1480","what does this image show?","close-up view of gangrene","answer: necrosis"
"1481","are the lower lobe seen on the left?","no","answer: yes"
"1482","does this image show close-up view of gangrene?","yes","answer: yes"
"1483","does atherosclerosis show close-up view of gangrene?","no","answer: yes"
"1484","what are present?","extremities","answer: necrosis granuloma"
"1485","are extremities present?","yes","answer: yes"
"1486","are renal polycystic disease legs present?","no","answer: no"
"1487","what is present?","feet","answer: necrosis"
"1488","is feet present?","yes","answer: yes"
"1489","is six digits present?","no","answer: yes"
"1490","what are present?","extremities","answer: necrosis granulation tissue"
"1491","what is present?","feet","answer: necrosis"
"1492","does endoscopic view of a longitudinally-oriented mallory-weiss tear?","yes","answer: yes"
"1493","how many toes does this image show excellent example of gangrene of the first?","four","answer: five"
"1494","what does this image show?","excellent example of gangrene of the first four toes","answer: necrosis"
"1495","does this image show excellent example of gangrene of the first four toes?","yes","answer: yes"
"1496","does omentum show excellent example of gangrene of the first four toes?","no","answer: yes"
"1497","what are present?","extremities","answer: necrosis ischemia"
"1498","are extremities present?","yes","answer: yes"
"1499","are feet present?","no","answer: yes"
"1500","what are present?","extremities","answer: necrosis tissue"
"1501","what requires dark room to see subtle distal phalangeal cyanosis?","case of dic not bad photo","answer: blue tinge"
"1502","what does case of dic not bad photo require?","dark room to see subtle distal phalangeal cyanosis","answer: antibiotics"
"1503","does the palisade of cartilage tear?","no","answer: yes"
"1504","does case of dic not bad photo require dark room to see subtle distal phalangeal cyanosis?","yes","answer: yes"
"1505","does pus in test tube require dark room to see subtle distal phalangeal cyanosis?","no","answer: yes"
"1506","what does this image show?","case of dic not bad photo requires dark room to see subtle distal phalangeal cyanosis","answer: clubbing"
"1507","does this image show case of dic not bad photo requires dark room to see subtle distal phalangeal cyanosis?","yes","answer: no"
"1508","does metastatic carcinoma lung show case of dic not bad photo requires dark room to see subtle distal phalangeal cyanosis?","no","answer: yes"
"1509","what are present?","extremities","answer: nail dystrophy"
"1510","are extremities present?","yes","answer: yes"
"1511","are hyalin mass in pituitary which is amyloid there are several slides from this case in this file 23 yowf amyloid limited to brain present?","no","answer: yes"
"1512","what is present?","hand","answer: clubbing"
"1513","is hand present?","yes","answer: yes"
"1514","what is found in the mid-esophagus, where it commonly causes strictures?","squamous cell carcinoma","answer: neoplasm"
"1515","is parathyroid present?","no","answer: yes"
"1516","what is present?","acrocyanosis","answer: nail dystrophy"
"1517","is acrocyanosis present?","yes","answer: yes"
"1518","is lymphoma present?","no","answer: yes"
"1519","what requires dark room to see subtle distal phalangeal cyanosis?","case of dic not bad photo","answer: blue dye"
"1520","what are present?","extremities","answer: clubbing"
"1521","what is present?","hand","answer: clubbing"
"1522","what is present?","acrocyanosis","answer: clubbing"
"1523","how does case of dic not bad photo require room to see subtle distal phalangeal cyanosis?","dark","answer: requires magnification"
"1524","how does case of dic not bad photo require dark room to see distal phalangeal cyanosis?","subtle","answer: blue discoloration"
"1525","where is squamous cell carcinoma found?","in the mid-esophagus","answer: esophagus"
"1526","how does case of dic not bad photo require dark room to see subtle phalangeal cyanosis?","distal","answer: blue tinge"
"1527","what does this image show?","toes","answer: clubbing"
"1528","does this image show toes, dry gangrene?","yes","answer: yes"
"1529","does previous slide from this case show toes, dry gangrene?","no","answer: yes"
"1530","what are present?","extremities","answer: cyanosis ulceration edema"
"1531","are extremities present?","yes","answer: yes"
"1532","are section of both kidneys and adrenals present?","no","answer: yes"
"1533","what are present?","extremities","answer: clubbing and cyanosis"
"1534","what does this image show?","disseminated intravascular coagulation dic","answer: bone metastasis"
"1535","does this image show disseminated intravascular coagulation dic?","yes","answer: yes"
"1536","is squamous cell carcinoma found in the mid-esophagus, where it commonly causes strictures?","yes","answer: yes"
"1537","does child show disseminated intravascular coagulation dic?","no","answer: yes"
"1538","what is present?","eye","answer: bone lesion"
"1539","is eye present?","yes","answer: no"
"1540","is mucoepidermoid carcinoma present?","no","answer: yes"
"1541","what is present?","eye","answer: bone necrosis"
"1542","what does this image show?","disseminated intravascular coagulation dic","answer: intestinal ulceration"
"1543","does this image show disseminated intravascular coagulation dic?","yes","answer: no"
"1544","does lymphangiomatosis generalized show disseminated intravascular coagulation dic?","no","answer: no"
"1545","what is present?","eye","answer: colon adenocarcinoma"
"1546","is eye present?","yes","answer: yes"
"1547","is cd15 found in the mid-esophagus, where it commonly causes strictures?","no","answer: yes"
"1548","is this photo of infant from head to toe present?","no","answer: no"
"1549","what is present?","eye","answer: ulcerated mucosa"
"1550","what does this image show?","uterus","answer: uterine necrosis"
"1551","does this image show uterus, fallopian tubes, ovaries ; normal?","yes","answer: no"
"1552","does chronic ischemia show uterus, fallopian tubes, ovaries ; normal?","no","answer: no"
"1553","where does this part belong to?","female reproductive system","answer: uterus"
"1554","what does this image show?","uterus","answer: prostate cancer"
"1555","does this image show uterus, leiomyoma?","yes","answer: yes"
"1556","does muscle atrophy show uterus, leiomyoma?","no","answer: no"
"1557","where does this part belong to?","female reproductive system","answer: prostate"
"1558","are skin stem cells typical of antibodies reactive with dsdna, nucleosomes, and histones, and common in sle?","no","answer: yes"
"1559","what is limited to the mucosa?","disease","answer: granulomas"
"1560","what does this image show?","uterus","answer: necrosis"
"1561","does this image show uterus, leiomyoma?","yes","answer: yes"
"1562","does cardiovascular show uterus, leiomyoma?","no","answer: yes"
"1563","where does this part belong to?","female reproductive system","answer: liver"
"1564","what does this image show?","nicely shown large neoplasm with fish flesh cerebriform appearance","answer: testicular cancer"
"1565","does this image show nicely shown large neoplasm with fish flesh cerebriform appearance?","yes","answer: yes"
"1566","does 70yof show nicely shown large neoplasm with fish flesh cerebriform appearance?","no","answer: yes"
"1567","what is present?","female reproductive","answer: prostate cancer"
"1568","is female reproductive present?","yes","answer: yes"
"1569","is leiomyomas present?","no","answer: yes"
"1570","what is disease limited to?","the mucosa","answer: colon"
"1571","what is present?","uterus","answer: testicular cancer"
"1572","is uterus present?","yes","answer: yes"
"1573","is surface present?","no","answer: yes"
"1574","what is present?","leiomyosarcoma","answer: testicular cancer"
"1575","is leiomyosarcoma present?","yes","answer: yes"
"1576","is heart present?","no","answer: no"
"1577","where does this part belong to?","female reproductive system","answer: prostate"
"1578","what is present?","female reproductive","answer: testicular lymphoma"
"1579","what is present?","uterus","answer: testicular cancer"
"1580","what is present?","leiomyosarcoma","answer: testicular cancer"
"1581","is disease limited to the mucosa?","yes","answer: no"
"1582","what does this image show?","fixed tissue close-up well shown tan-orange luteum tissue cysts in sliced ovaries three day old","answer: liver regeneration"
"1583","does this image show fixed tissue close-up well shown tan-orange luteum tissue cysts in sliced ovaries three day old?","yes","answer: yes"
"1584","what is present?","female reproductive","answer: calcified granulomas"
"1585","is female reproductive present?","yes","answer: no"
"1586","what is present?","ovary","answer: fetal kidneys"
"1587","is ovary present?","yes","answer: yes"
"1588","what is present?","theca luteum cysts in newborn","answer: multiple cysts"
"1589","is theca luteum cysts in newborn present?","yes","answer: yes"
"1590","where does this belong to?","female reproductive system","answer: lung"
"1591","what is present?","female reproductive","answer: enlarged kidneys"
"1592","is masson trichrome limited to the mucosa?","no","answer: no"
"1593","what is present?","ovary","answer: fetal kidneys"
"1594","what is present?","theca luteum cysts in newborn","answer: fetal kidneys"
"1595","what does this image show?","saggital section which is a very good illustration of lesion","answer: necrosis"
"1596","does this image show saggital section which is a very good illustration of this lesion?","yes","answer: yes"
"1597","does spina bifida show saggital section which is a very good illustration of this lesion?","no","answer: yes"
"1598","what is present?","female reproductive","answer: infarct"
"1599","is female reproductive present?","yes","answer: yes"
"1600","is gout present?","no","answer: yes"
"1601","what is present?","placenta","answer: infarcted appendix"
"1602","is placenta present?","yes","answer: yes"
"1603","what shows that disease is limited to the mucosa?","the full-thickness histologic section","answer: submucosal infiltrate"
"1604","is glomerulosa present?","no","answer: no"
"1605","what is present?","abruption","answer: infarcted uterus"
"1606","is abruption present?","yes","answer: yes"
"1607","is palmar crease normal present?","no","answer: no"
"1608","where does this belong to?","female reproductive system","answer: endometrium"
"1609","what is present?","female reproductive","answer: infarcted bowel"
"1610","what is present?","placenta","answer: necrotic tissue"
"1611","what is present?","abruption","answer: infarcted uterus"
"1612","how many arteries does this image show cross sections showing apparently and two veins?","four","answer: three"
"1613","how many veins does this image show cross sections showing apparently four arteries and?","two","answer: two"
"1614","what does this full-thickness histologic section show?","disease is limited to the mucosa","answer: granulomatous inflammation"
"1615","what does this image show?","cross sections showing apparently four arteries and two veins","answer: testes"
"1616","does this image show cross sections showing apparently four arteries and two veins?","yes","answer: yes"
"1617","does adenocarcinoma show cross sections showing apparently four arteries and two veins?","no","answer: yes"
"1618","what is present?","female reproductive","answer: teratoma"
"1619","is female reproductive present?","yes","answer: no"
"1620","is acute lymphocytic leukemia present?","no","answer: yes"
"1621","what is present?","umbilical cord","answer: teratoma"
"1622","is umbilical cord present?","yes","answer: yes"
"1623","is hemochromatosis present?","no","answer: yes"
"1624","what is present?","siamese twins","answer: testicular teratoma"
"1625","does this full-thickness histologic section show that disease is limited to the mucosa?","yes","answer: no"
"1626","is siamese twins present?","yes","answer: yes"
"1627","is intraductal lesions present?","no","answer: yes"
"1628","where does this belong to?","female reproductive system","answer: testes"
"1629","what is present?","female reproductive","answer: testes"
"1630","what is present?","umbilical cord","answer: teratoma"
"1631","what is present?","siamese twins","answer: teratoma"
"1632","what did not mention?","fixed tissue large hemorrhagic cyst in ovary with several corpora lutea for size comparison sure of this diagnosis but sure looks like on autopsy diagnoses","answer: location"
"1633","did ml not mention?","no","answer: cavitation"
"1634","what does this image show?","fixed tissue large hemorrhagic cyst in ovary with several corpora lutea for size comparison not sure of diagnosis but sure looks like on autopsy diagnoses did not mention","answer: pulmonary tuberculosis"
"1635","what is present?","female reproductive","answer: granulomatous inflammation"
"1636","does this section show that disease is limited to the mucosa?","no","answer: yes"
"1637","is female reproductive present?","yes","answer: no"
"1638","what is present?","ovary","answer: granulomatous inflammation"
"1639","is ovary present?","yes","answer: yes"
"1640","what is present?","cyst","answer: granulomatous inflammation"
"1641","is cyst present?","yes","answer: yes"
"1642","where does this belong to?","female reproductive system","answer: lungs"
"1643","what did not mention?","fixed tissue large hemorrhagic cyst in ovary with several corpora lutea for size comparison sure of this diagnosis but sure looks like on autopsy diagnoses","answer: cause"
"1644","what is present?","female reproductive","answer: granulomatous inflammation"
"1645","what is present?","ovary","answer: granulomas"
"1646","what is present?","cyst","answer: granulomas"
"1647","how many tubular adenomas are present in this single microscopic field?","three","answer: three"
"1648","when does this image show 18 hours?","after cesarean section","answer: postmortem"
"1649","what does this image show?","18 hours after cesarean section","answer: splenic infarct"
"1650","does this image show 18 hours after cesarean section?","yes","answer: yes"
"1651","what is present?","female reproductive","answer: spleen infarct"
"1652","is female reproductive present?","yes","answer: no"
"1653","what is present?","uterus","answer: infarct"
"1654","is uterus present?","yes","answer: yes"
"1655","what is present?","postpartum","answer: bowel perforation"
"1656","is postpartum present?","yes","answer: yes"
"1657","where does this belong to?","female reproductive system","answer: esophagus"
"1658","what are present in this single microscopic field?","three tubular adenomas","answer: intestinal epithelium"
"1659","what is present?","female reproductive","answer: pulmonary infarct"
"1660","what is present?","uterus","answer: massive hemorrhage"
"1661","what is present?","postpartum","answer: infarction"
"1662","when does this image show close-up view of endometrial surface 18 hours?","after a cesarean section","answer: post-hysterectomy"
"1663","what does this image show?","close-up view of endometrial surface 18 hours after a cesarean section","answer: extensive necrosis"
"1664","does this image show close-up view of endometrial surface 18 hours after a cesarean section?","yes","answer: yes"
"1665","what is present?","female reproductive","answer: necrosis"
"1666","is female reproductive present?","yes","answer: no"
"1667","what is present?","uterus","answer: tissue necrosis"
"1668","is uterus present?","yes","answer: no"
"1669","are small intestine stem cells typical of antibodies reactive with dsdna, nucleosomes, and histones, and is common in sle?","no","answer: yes"
"1670","where are three tubular adenomas present?","in a single microscopic field","answer: colon"
"1671","what is present?","postpartum","answer: extensive hemorrhage"
"1672","is postpartum present?","yes","answer: yes"
"1673","where does this belong to?","female reproductive system","answer: stomach"
"1674","what is present?","female reproductive","answer: necrosis"
"1675","what is present?","uterus","answer: necrosis"
"1676","what is present?","postpartum","answer: necrosis"
"1677","what does this image show?","thick capsule with some cysts","answer: necrosis"
"1678","how does this image show thick capsule?","with some cysts","answer: amyloidosis"
"1679","does this image show thick capsule with some cysts?","yes","answer: yes"
"1680","does leiomyoma show thick capsule with some cysts?","no","answer: yes"
"1681","are three tubular adenomas present in this single microscopic field?","yes","answer: yes"
"1682","what is present?","female reproductive","answer: infarcted kidney"
"1683","is female reproductive present?","yes","answer: no"
"1684","is amputation stump infected present?","no","answer: yes"
"1685","what is present?","ovary","answer: necrosis"
"1686","is ovary present?","yes","answer: yes"
"1687","is breast present?","no","answer: no"
"1688","what is present?","stein leventhal","answer: infarcted kidney"
"1689","is stein leventhal present?","yes","answer: yes"
"1690","is focal hemorrhagic infarction well shown present?","no","answer: yes"
"1691","where does this belong to?","female reproductive system","answer: kidney"
"1692","are loosely formed interstitial granulomas and chronic inflammation present in this single microscopic field?","no","answer: yes"
"1693","what is present?","female reproductive","answer: infarct"
"1694","what is present?","ovary","answer: infarcted kidney"
"1695","what is present?","stein leventhal","answer: infarction"
"1696","what does this image show?","infant bicornate uterus","answer: uterus"
"1697","does this image show infant bicornate uterus?","yes","answer: yes"
"1698","does this show infant bicornate uterus?","no","answer: yes"
"1699","what is present?","female reproductive","answer: uterine necrosis"
"1700","is female reproductive present?","yes","answer: yes"
"1701","is fibrinous peritonitis present?","no","answer: yes"
"1702","what is present?","bicornate uterus","answer: uterus"
"1703","what stain is seen after diastase digestion?","pas-d","answer: amyloid"
"1704","is bicornate uterus present?","yes","answer: yes"
"1705","is yo present?","no","answer: yes"
"1706","where does this belong to?","female reproductive system","answer: female reproductive"
"1707","what is present?","female reproductive","answer: uterus"
"1708","what is present?","bicornate uterus","answer: uterus"
"1709","what does this image show?","excellent example of submucosal","answer: uterine sarcoma"
"1710","does this image show excellent example of submucosal?","yes","answer: yes"
"1711","does sacrococcygeal teratoma show excellent example of submucosal?","no","answer: yes"
"1712","what is present?","female reproductive","answer: colon ulceration"
"1713","is female reproductive present?","yes","answer: yes"
"1714","what indicate foci of hepatocytes undergoing necrosis in this pas-d-stained biopsy from a patient with acute hepatitis b?","clusters of pigmented hepatocytes with eosinophilic cytoplasm","answer: blue nuclei"
"1715","is amyloidosis present?","no","answer: yes"
"1716","what is present?","uterus","answer: necrosis"
"1717","is uterus present?","yes","answer: yes"
"1718","is left ventricle hypertrophy present?","no","answer: yes"
"1719","what is present?","leiomyoma","answer: sigmoid colon perforation"
"1720","is leiomyoma present?","yes","answer: yes"
"1721","is abdomen present?","no","answer: yes"
"1722","where does this belong to?","female reproductive system","answer: rectum"
"1723","what is present?","female reproductive","answer: colorectal carcinoma"
"1724","what is present?","uterus","answer: bowel perforation"
"1725","what do clusters of pigmented hepatocytes with eosinophilic cytoplasm indicate?","foci of hepatocytes undergoing necrosis","answer: rhabdomyolysis"
"1726","what is present?","leiomyoma","answer: splenic infarct"
"1727","what is quite obvious?","this typical thecoma with yellow foci","answer: adipose tissue"
"1728","is this typical thecoma with yellow foci quite obvious?","yes","answer: yes"
"1729","is autopsy quite obvious?","no","answer: yes"
"1730","what is no ovary present to indicate the location of the tumor mass?","there","answer: bilateral ovarian cortex"
"1731","what is there to indicate the location of the tumor mass?","no ovary present","answer: the black box"
"1732","is there no ovary present to indicate the location of the tumor mass?","yes","answer: yes"
"1733","is breast no ovary present to indicate the location of the tumor mass?","no","answer: yes"
"1734","what is present?","female reproductive","answer: enlarged spleen"
"1735","is female reproductive present?","yes","answer: no"
"1736","do clusters of pigmented hepatocytes with eosinophilic cytoplasm indicate foci of hepatocytes undergoing necrosis in this pas-d-stained biopsy from a patient with acute hepatitis b?","yes","answer: yes"
"1737","is cystadenocarcinoma malignancy present?","no","answer: yes"
"1738","what is present?","thecoma","answer: enlarged thyroid"
"1739","is thecoma present?","yes","answer: yes"
"1740","is simian crease present?","no","answer: yes"
"1741","where does this belong to?","female reproductive system","answer: spleen"
"1742","what is quite obvious?","this typical thecoma with yellow foci","answer: enlarged kidneys"
"1743","what is no ovary present to indicate the location of the tumor mass?","there","answer: uterus"
"1744","what is there to indicate the location of the tumor mass?","no ovary present","answer: black box"
"1745","what is present?","female reproductive","answer: enlarged spleen"
"1746","what is present?","thecoma","answer: enlarged spleen"
"1747","do immature myeloid cells indicate foci of hepatocytes undergoing necrosis in this pas-d-stained biopsy from a patient with acute hepatitis b?","no","answer: yes"
"1748","how is this typical thecoma with yellow foci quite?","obvious","answer: atypia"
"1749","how is there no present to indicate the location of the tumor mass?","ovary","answer: black box"
"1750","what does this image show?","normal breast","answer: gliosis"
"1751","does this image show normal breast?","yes","answer: no"
"1752","does hematoma show normal breast?","no","answer: no"
"1753","what is present?","female reproductive","answer: granulomas"
"1754","is female reproductive present?","yes","answer: no"
"1755","is pituitectomy present?","no","answer: yes"
"1756","where is this from?","female reproductive system","answer: brain"
"1757","what is present?","female reproductive","answer: granulomas"
"1758","what does pas-d, periodic acid-schiff stain after?","diastase digestion","answer: neuron cell bodies"
"1759","what does this image show?","normal breast","answer: granulomatous inflammation"
"1760","does this image show normal breast?","yes","answer: no"
"1761","does female reproductive show normal breast?","no","answer: no"
"1762","what is present?","female reproductive","answer: granulomas"
"1763","is female reproductive present?","yes","answer: no"
"1764","is abdomen present?","no","answer: no"
"1765","where is this from?","female reproductive system","answer: brain"
"1766","what is present?","female reproductive","answer: granulomas"
"1767","what does this image show?","normal breast","answer: granulomas"
"1768","does this image show normal breast?","yes","answer: no"
"1769","does pas-d, periodic acid-schiff stain after diastase digestion?","yes","answer: yes"
"1770","does yellow color show normal breast?","no","answer: no"
"1771","what is present?","female reproductive","answer: granulomas"
"1772","is female reproductive present?","yes","answer: no"
"1773","is endocrine present?","no","answer: no"
"1774","where is this from?","female reproductive system","answer: lung"
"1775","what is present?","female reproductive","answer: granulomas"
"1776","what does this image show?","uterus","answer: granulomatous inflammation"
"1777","does this image show uterus, leiomyoma?","yes","answer: yes"
"1778","does hematoma show uterus, leiomyoma?","no","answer: yes"
"1779","what is present?","female reproductive","answer: granulomas"
"1780","what is typical of antibodies against nucleolar proteins?","a nucleolar pattern","answer: nucleolar staining"
"1781","does a crypt abscess stain after diastase digestion?","no","answer: yes"
"1782","is female reproductive present?","yes","answer: no"
"1783","is inflamed exocervix present?","no","answer: yes"
"1784","where is this from?","female reproductive system","answer: lung"
"1785","what is present?","female reproductive","answer: fibrosis"
"1786","what does this image show?","uterus","answer: muscle"
"1787","does this image show uterus, leiomyoma?","yes","answer: yes"
"1788","does leiomyoma show uterus, leiomyoma?","no","answer: yes"
"1789","what is present?","female reproductive","answer: muscle fibers"
"1790","is female reproductive present?","yes","answer: no"
"1791","is chromophobe adenoma present?","no","answer: no"
"1792","when does pas-d , periodic acid-schiff stain?","after diastase digestion","answer: neurons"
"1793","where is this from?","female reproductive system","answer: muscle"
"1794","what is present?","female reproductive","answer: muscle fibers"
"1795","what does this image show?","normal uterus","answer: vascular proliferation"
"1796","does this image show normal uterus?","yes","answer: no"
"1797","does this show normal uterus?","no","answer: no"
"1798","what stain?","alpha smooth muscle actin immunohistochemical","answer: ki67"
"1799","do alpha smooth muscle actin immunohistochemical stain?","yes","answer: yes"
"1800","do fibroma stain?","no","answer: yes"
"1801","what is present?","female reproductive","answer: positive staining"
"1802","is female reproductive present?","yes","answer: yes"
"1803","what shows scattered apoptotic hepatocytes and a patchy inflammatory infiltrate?","the biopsy from a patient with lobular hepatitis due chronic hepatitis c","answer: liver"
"1804","is chronic ischemia present?","no","answer: yes"
"1805","where is this from?","female reproductive system","answer: colon"
"1806","what stain?","normal uterus, alpha smooth muscle actin immunohistochemical","answer: ki67"
"1807","what is present?","female reproductive","answer: adenocarcinoma"
"1808","what does this image show?","leiomyoma","answer: smooth muscle cells"
"1809","does this image show leiomyoma?","yes","answer: yes"
"1810","does heel ulcer show leiomyoma?","no","answer: yes"
"1811","what stain?","alpha smooth muscle actin immunohistochemical","answer: smooth muscle"
"1812","do alpha smooth muscle actin immunohistochemical stain?","yes","answer: yes"
"1813","do no tissue recognizable as ovary stain?","no","answer: yes"
"1814","what does this biopsy from a patient with lobular hepatitis due to chronic hepatitis c show?","scattered apoptotic hepatocytes and a patchy inflammatory infiltrate","answer: lymphocytes"
"1815","what is present?","female reproductive","answer: smooth muscle cells"
"1816","is female reproductive present?","yes","answer: no"
"1817","is serous cyst present?","no","answer: yes"
"1818","where is this from?","female reproductive system","answer: bowel"
"1819","what stain?","leiomyoma, alpha smooth muscle actin immunohistochemical","answer: smooth muscle"
"1820","what is present?","female reproductive","answer: squamous cell carcinoma"
"1821","what does this image show?","uterus","answer: fibrosis"
"1822","does this image show uterus, leiomyomas?","yes","answer: yes"
"1823","does band constriction in skin above ankle of infant show uterus, leiomyomas?","no","answer: no"
"1824","what is present?","female reproductive","answer: myofibrils"
"1825","does this biopsy from a patient with lobular hepatitis due to chronic hepatitis c show scattered apoptotic hepatocytes and a patchy inflammatory infiltrate?","yes","answer: yes"
"1826","is female reproductive present?","yes","answer: no"
"1827","is source present?","no","answer: yes"
"1828","where is this from?","female reproductive system","answer: muscle"
